identity,Age,UR2006_num,p,Source,GenotypeModel,AttributionModel
8520,"[5, Inf)",2,0.004487508256512865,Water,Island,Linear
9054,"[5, Inf)",2,5.468695028948589e-4,Water,Island,Linear
9635,"[5, Inf)",2,0.010689065469899306,Water,Island,Linear
9903,"[5, Inf)",2,0.0039568207734297575,Water,Island,Linear
9996,"[5, Inf)",2,3.706745002957349e-4,Water,Island,Linear
358,0-5,0,0.006631202139117399,Water,Island,Linear
1642,0-5,0,2.2851802769250845e-4,Water,Island,Linear
1685,0-5,0,0.005219370871202543,Water,Island,Linear
2495,0-5,0,0.01589758332232868,Water,Island,Linear
2765,0-5,0,0.0013678788338141996,Water,Island,Linear
3958,0-5,0,3.9542093677467064e-4,Water,Island,Linear
4322,0-5,0,7.940626152240993e-5,Water,Island,Linear
4764,0-5,0,1.3895717348214121e-4,Water,Island,Linear
4832,0-5,0,0.0219115497769735,Water,Island,Linear
5903,0-5,0,0.001747396840730173,Water,Island,Linear
6097,0-5,0,2.759617873413407e-5,Water,Island,Linear
6596,0-5,0,0.007736605133808883,Water,Island,Linear
6982,0-5,0,0.02068004457943009,Water,Island,Linear
7149,0-5,0,0.0023091365672633342,Water,Island,Linear
7724,0-5,0,0.002831895182706029,Water,Island,Linear
8520,0-5,0,0.004334392606063882,Water,Island,Linear
9054,0-5,0,1.2566217370130133e-4,Water,Island,Linear
9635,0-5,0,0.003185864472661862,Water,Island,Linear
9903,0-5,0,2.965448591006457e-4,Water,Island,Linear
9996,0-5,0,0.002963215474854441,Water,Island,Linear
358,0-5,3,0.0019140387934378051,Water,Island,Linear
1642,0-5,3,5.101936170928107e-6,Water,Island,Linear
1685,0-5,3,0.001186164650882416,Water,Island,Linear
2495,0-5,3,0.002143517037592583,Water,Island,Linear
2765,0-5,3,3.447300255944882e-4,Water,Island,Linear
3958,0-5,3,0.001410567135749225,Water,Island,Linear
4322,0-5,3,5.311128363146257e-8,Water,Island,Linear
4764,0-5,3,6.610002237236314e-4,Water,Island,Linear
4832,0-5,3,0.003932220307842527,Water,Island,Linear
5903,0-5,3,1.7023206541780447e-5,Water,Island,Linear
6097,0-5,3,7.584076215773525e-9,Water,Island,Linear
6596,0-5,3,5.101394819293754e-4,Water,Island,Linear
6982,0-5,3,0.025698814580826373,Water,Island,Linear
