ST,Source,Model,m,lci,uci,ucl,lcl
38,Ruminants,Island,0.5740220109360807,0.5576894208066077,0.5891449881497866,0.5807578720093183,0.5670161220051672
38,Water,Dirichlet,0.2256788296018811,0.038568639833343826,0.5508441774012317,0.3588583123053025,0.1195900000019849
38,Water,Island,0.19606606836434146,0.17915796603513798,0.21335906622317985,0.20341333587620428,0.18858044082213898
42,Other,Dirichlet,0.041239837327139164,0.00937088197187337,0.10773327370537018,0.0653680421171384,0.023622790380088483
42,Other,Island,0.05103988574546981,0.0420206930516418,0.06258057975648763,0.05552819518839032,0.046982152310185446
42,Poultry,Dirichlet,0.07089452938063667,0.03266364086458391,0.1325619685584925,0.09371834486301509,0.05214563782407016
42,Poultry,Island,0.07401750516654959,0.06510101796891347,0.08710683151717961,0.07919482785949039,0.06964532165931603
42,Ruminants,Dirichlet,0.6868136911593486,0.5750804599533893,0.7883877802756541,0.7337992233570854,0.6400096724371248
42,Ruminants,Island,0.6821234469045183,0.6609497209028966,0.7014941483138359,0.6910361899286812,0.67317063026564
42,Water,Dirichlet,0.19145767144575065,0.10525411045606342,0.3017912928231467,0.23533523492238803,0.15070457438294502
42,Water,Island,0.19192048707806497,0.17345752022845512,0.21143108681771441,0.20033054495345354,0.1836765879503348
43,Other,Dirichlet,0.16477639780711256,0.006540893342454868,0.6154912651508752,0.3455438489857335,0.05743333266201519
43,Other,Island,0.09911463625242095,0.06480247753716917,0.14019860114416782,0.11611157434455453,0.08379233389813481
43,Poultry,Dirichlet,0.09509096707182635,0.003590941971645257,0.4602166146611753,0.21584597822153218,0.030857697482040508
43,Poultry,Island,0.009063660617461783,0.0017765790086570294,0.023426044647133194,0.01462289391899503,0.005013389624206108
43,Ruminants,Dirichlet,0.14068122445202982,0.005528633537139779,0.5676620381960338,0.3028752741212143,0.04758956508520601
43,Ruminants,Island,0.012219283921211702,0.002189924615802666,0.03141011253729553,0.019429734934126305,0.006840210612446008
43,Water,Dirichlet,0.4798535269242652,0.09224609588890852,0.859492602051837,0.6749809437833711,0.27995857979669225
43,Water,Island,0.8771834017563053,0.8339495277508311,0.9153351505183605,0.8938707555261562,0.8589874642273445
45,Other,Dirichlet,0.29758176287410126,0.23956054023104043,0.359302567922514,0.32451413573192894,0.2719316202154937
45,Other,Island,0.25953532509902044,0.2448425752353305,0.2734377272689883,0.2656073111811696,0.2534064351869816
45,Poultry,Dirichlet,0.5117483459133498,0.44958701451048877,0.5750112702800149,0.5391792152566222,0.48538876089549227
45,Poultry,Island,0.4985549958616172,0.4845091931340844,0.5126259621011382,0.5045845745437256,0.4925689775707803
45,Ruminants,Dirichlet,0.04863003353274914,0.025551949152156427,0.0817936447634792,0.06167223476379098,0.03756026724343284
45,Ruminants,Island,0.06722091814527642,0.058966910138267256,0.07893884672339527,0.07189567028290168,0.06330242511416886
45,Water,Dirichlet,0.13773266366676917,0.09279991686345071,0.19493765031652113,0.16128287631172056,0.11718452812442769
45,Water,Island,0.17415530909566604,0.16019523348865075,0.18842620668739118,0.18021320959555354,0.16814746493220417
48,Other,Dirichlet,0.010845747656951177,3.97277119108811e-4,0.055934966307214846,0.02506674283963487,0.003383671273810817
48,Other,Island,0.03203417879639839,0.016478706174111284,0.05363640773467692,0.041026505780227554,0.02448989866150681
48,Poultry,Dirichlet,0.9577371638938252,0.8932498244919689,0.9899351524202848,0.9758261091681956,0.934473671469332
48,Poultry,Island,0.9158583735480819,0.8802762335535631,0.9455701832783557,0.9292310212224648,0.901161443174149
48,Ruminants,Dirichlet,0.009082507220229876,3.535982146278795e-4,0.046609242609637655,0.021077997355145768,0.002927295582379749
48,Ruminants,Island,0.02732133726606237,0.010426563076310635,0.05188472425045137,0.03723600440680289,0.019001544676337905
48,Water,Dirichlet,0.012792098969637022,4.8384902429500796e-4,0.06371067351980844,0.029099644896637248,0.004138009348826676
48,Water,Island,0.022309220338720518,0.007437625743669706,0.046333344656891026,0.031851874706259845,0.01480363384588607
50,Other,Dirichlet,0.014624302585411171,0.002115593669905754,0.04719249964360356,0.02581212041830596,0.007176000313099045
50,Other,Island,0.03293422263210552,0.02471629510942709,0.042967081524809346,0.037020185442313204,0.029209887704662294
50,Poultry,Dirichlet,0.36171507812123993,0.29384424489130057,0.43555644041791436,0.39280326193878917,0.33219338121437303
